i,d,F(d)
218,16.65,0.05180608365019011
219,16.68,0.052043726235741446
220,16.88,0.05228136882129278
221,17.0,0.052519011406844104
222,17.45,0.05275665399239544
223,17.45,0.05299429657794677
224,17.45,0.053231939163498096
225,17.55,0.05346958174904943
226,17.65,0.05370722433460076
227,17.83,0.05394486692015209
228,18.1,0.05418250950570342
229,18.7,0.05442015209125475
230,19.27,0.054657794676806086
231,19.45,0.05489543726235741
232,19.55,0.055133079847908745
233,19.85,0.05537072243346008
234,19.9,0.0556083650190114
235,19.93,0.055846007604562736
236,20.05,0.05608365019011407
237,20.35,0.0563212927756654
238,20.52,0.05655893536121673
239,20.53,0.05679657794676806
240,20.6,0.057034220532319393
241,20.75,0.05727186311787072
242,20.82,0.05750950570342205
243,21.05,0.057747148288973385
244,21.12,0.05798479087452472
245,21.88,0.058222433460076044
246,21.93,0.05846007604562738
247,21.97,0.05869771863117871
248,22.37,0.058935361216730035
249,22.45,0.05917300380228137
250,22.45,0.0594106463878327
251,22.97,0.05964828897338403
252,23.02,0.05988593155893536
253,23.13,0.06012357414448669
254,23.43,0.060361216730038025
255,23.82,0.06059885931558935
256,23.95,0.060836501901140684
257,24.12,0.06107414448669202
258,24.48,0.06131178707224334
259,24.6,0.061549429657794676
260,24.77,0.06178707224334601
261,24.92,0.06202471482889734
262,25.12,0.06226235741444867
263,25.18,0.0625
264,25.33,0.06273764258555133
265,25.55,0.06297528517110267
266,25.87,0.06321292775665399
267,25.93,0.06345057034220532
268,26.08,0.06368821292775666
269,26.12,0.06392585551330798
270,26.15,0.06416349809885931
271,26.85,0.06440114068441065
272,26.87,0.06463878326996197
273,27.2,0.06487642585551331
274,27.3,0.06511406844106464
275,27.47,0.06535171102661597
276,27.58,0.0655893536121673
277,28.07,0.06582699619771863
278,28.15,0.06606463878326996
279,28.23,0.0663022813688213
280,28.32,0.06653992395437262
281,28.43,0.06677756653992395
282,28.45,0.06701520912547529
283,28.57,0.06725285171102661
284,29.1,0.06749049429657794
285,29.17,0.06772813688212928
286,29.25,0.0679657794676806
287,29.58,0.06820342205323193
288,29.77,0.06844106463878327
289,30.37,0.0686787072243346
290,30.5,0.06891634980988594
291,30.52,0.06915399239543726
292,30.78,0.06939163498098859
293,31.0,0.06962927756653993
294,31.22,0.06986692015209126
295,31.3,0.07010456273764258
296,31.73,0.07034220532319392
297,32.17,0.07057984790874525
298,32.67,0.07081749049429657
299,32.67,0.07105513307984791
300,33.03,0.07129277566539924
301,33.05,0.07153041825095056
302,33.05,0.0717680608365019
303,33.27,0.07200570342205323
304,33.3,0.07224334600760456
305,33.47,0.0724809885931559
306,33.85,0.07271863117870722
307,34.42,0.07295627376425856
308,34.43,0.07319391634980989
309,34.43,0.07343155893536121
310,34.88,0.07366920152091255
311,34.88,0.07390684410646388
312,34.98,0.0741444866920152
313,35.03,0.07438212927756654
314,35.22,0.07461977186311787
315,35.58,0.0748574144486692
316,35.62,0.07509505703422054
317,35.85,0.07533269961977186
318,36.37,0.07557034220532319
319,36.9,0.07580798479087453
320,36.93,0.07604562737642585
321,37.07,0.07628326996197718
322,37.13,0.07652091254752852
323,37.23,0.07675855513307984
324,37.4,0.07699619771863118
325,37.48,0.07723384030418251
326,37.55,0.07747148288973384
327,38.0,0.07770912547528518
328,38.23,0.0779467680608365
329,38.25,0.07818441064638783
330,38.35,0.07842205323193917
331,38.53,0.0786596958174905
332,38.72,0.07889733840304182
333,38.75,0.07913498098859316
334,38.8,0.07937262357414449
335,39.02,0.07961026615969581
336,39.03,0.07984790874524715
337,39.05,0.08008555133079848
338,39.07,0.0803231939163498
339,39.2,0.08056083650190114
340,39.38,0.08079847908745247
341,39.43,0.08103612167300381
342,39.47,0.08127376425855513
343,39.9,0.08151140684410646
344,40.05,0.0817490494296578
345,40.22,0.08198669201520913
346,40.62,0.08222433460076045
347,40.65,0.08246197718631179
348,40.93,0.08269961977186312
349,41.18,0.08293726235741444
350,41.43,0.08317490494296578
351,41.65,0.08341254752851711
352,41.83,0.08365019011406843
353,42.18,0.08388783269961977
354,42.23,0.0841254752851711
355,42.28,0.08436311787072243
356,42.35,0.08460076045627377
357,42.38,0.08483840304182509
358,42.77,0.08507604562737643
359,42.85,0.08531368821292776
360,43.38,0.08555133079847908
361,43.55,0.08578897338403042
362,43.87,0.08602661596958175
363,43.87,0.08626425855513307
364,43.88,0.08650190114068441
365,44.02,0.08673954372623574
366,44.25,0.08697718631178707
367,44.27,0.0872148288973384
368,44.37,0.08745247148288973
369,44.4,0.08769011406844106
370,44.43,0.0879277566539924
371,44.52,0.08816539923954372
372,44.57,0.08840304182509506
373,44.68,0.08864068441064639
374,45.13,0.08887832699619772
375,45.6,0.08911596958174905
376,45.67,0.08935361216730038
377,46.07,0.0895912547528517
378,47.47,0.08982889733840305
379,47.58,0.09006653992395437
380,47.9,0.0903041825095057
381,48.23,0.09054182509505704
382,48.33,0.09077946768060836
383,48.78,0.09101711026615969
384,48.9,0.09125475285171103
385,49.03,0.09149239543726236
386,49.15,0.09173003802281368
387,49.48,0.09196768060836502
388,49.68,0.09220532319391635
389,49.77,0.09244296577946769
390,49.88,0.09268060836501901
391,49.98,0.09291825095057034
392,50.08,0.09315589353612168
393,50.15,0.093393536121673
394,50.57,0.09363117870722433
395,50.58,0.09386882129277567
396,50.83,0.094106463878327
397,50.93,0.09434410646387832
398,50.97,0.09458174904942966
399,50.98,0.09481939163498099
400,51.23,0.09505703422053231
401,51.37,0.09529467680608365
402,51.55,0.09553231939163498
403,52.08,0.0957699619771863
404,52.75,0.09600760456273764
405,52.92,0.09624524714828897
406,53.05,0.09648288973384031
407,53.42,0.09672053231939164
408,53.43,0.09695817490494296
409,53.52,0.0971958174904943
410,53.53,0.09743346007604563
411,53.58,0.09767110266159695
412,53.8,0.0979087452471483
413,53.87,0.09814638783269962
414,54.65,0.09838403041825095
415,54.83,0.09862167300380228
416,55.22,0.09885931558935361
417,55.38,0.09909695817490494
418,55.45,0.09933460076045628
419,56.02,0.0995722433460076
420,56.17,0.09980988593155893
421,56.2,0.10004752851711027
422,56.22,0.1002851711026616
423,56.25,0.10052281368821293
424,56.48,0.10076045627376426
425,56.87,0.10099809885931559
426,56.9,0.10123574144486693
427,57.87,0.10147338403041825
428,57.88,0.10171102661596958
429,58.25,0.10194866920152092
430,58.45,0.10218631178707224
431,58.82,0.10242395437262357
432,59.3,0.10266159695817491
433,59.78,0.10289923954372623
434,60.08,0.10313688212927756
435,60.1,0.1033745247148289
436,60.12,0.10361216730038023
437,60.22,0.10384980988593155
438,60.25,0.10408745247148289
439,60.28,0.10432509505703422
440,60.35,0.10456273764258556
441,60.38,0.10480038022813688
442,60.42,0.10503802281368821
443,60.5,0.10527566539923955
444,60.55,0.10551330798479087
445,60.55,0.1057509505703422
446,60.55,0.10598859315589354
447,60.65,0.10622623574144487
448,60.73,0.10646387832699619
449,60.82,0.10670152091254753
450,60.9,0.10693916349809886
451,60.92,0.10717680608365018
452,61.1,0.10741444866920152
453,61.52,0.10765209125475285
454,61.53,0.10788973384030418
455,61.68,0.10812737642585551
456,62.0,0.10836501901140684
457,62.37,0.10860266159695818
458,62.52,0.1088403041825095
459,62.55,0.10907794676806083
460,62.9,0.10931558935361217
461,63.07,0.1095532319391635
462,63.08,0.10979087452471482
463,63.12,0.11002851711026616
464,63.27,0.11026615969581749
465,63.33,0.11050380228136882
466,63.5,0.11074144486692016
467,63.83,0.11097908745247148
468,63.85,0.1112167300380228
469,63.92,0.11145437262357415
470,64.03,0.11169201520912547
471,64.05,0.11192965779467681
472,64.13,0.11216730038022814
473,64.22,0.11240494296577946
474,64.25,0.1126425855513308
475,64.37,0.11288022813688213
476,64.47,0.11311787072243346
477,64.83,0.1133555133079848
478,64.83,0.11359315589353612
479,65.25,0.11383079847908745
480,65.28,0.11406844106463879
481,65.35,0.11430608365019011
482,65.4,0.11454372623574144
483,65.57,0.11478136882129278
484,65.68,0.1150190114068441
485,65.77,0.11525665399239543
486,65.88,0.11549429657794677
487,66.17,0.1157319391634981
488,66.28,0.11596958174904944
489,66.42,0.11620722433460076
490,66.42,0.11644486692015209
491,66.53,0.11668250950570343
492,66.65,0.11692015209125475
493,66.67,0.11715779467680608
494,66.73,0.11739543726235742
495,66.82,0.11763307984790874
